timestamp,username,source_ip,asset,action,status,event_message
2026-01-01 08:00:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:00:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:01:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:01:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:02:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:02:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:03:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:03:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:04:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:04:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:05:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:05:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:06:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:06:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:07:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:07:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:08:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:08:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:09:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:09:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:10:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:10:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:11:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:11:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:12:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:12:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:13:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:13:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:14:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:14:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:15:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:15:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:16:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:16:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:17:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:17:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:18:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:18:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:19:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:19:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:20:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:20:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:21:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:21:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:22:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:22:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:23:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:23:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:24:00,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:24:30,admin,192.168.1.250,server-01,login,failure,Failed login attempt
2026-01-01 08:25:00,admin,192.168.1.250,server-01,login,success,Successful login after multiple failures
